Comuna;Link;Tipo_Vivienda;Valor_CLP;N_Habitaciones;N_Baños;N_Estacionamientos;Total_Superficie_M2;Superficie_Construida_M2;Valor_UF;Dirección;Quién_Vende;Corredor
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos/3726822;Casa;138000000;4;2;1;320;120;4.791;Cerrillos, Cerrillos;Patricia Navarro;Enfoque Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos-region-metropolitana/3072666;Casa;82000000;3;1;2;108;216;2.847;;Daniela Parrau Vargas;Vende Dueño/a
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/julio-verne/3658196;Casa;150000000;5;3;3;250;140;5.208;Cerrillos, Julio Verne;Ricardo Propiedades;Ricardo Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos-region-metropolitana/3072610;Casa;97000000;3;1;2;264;89;3.368;;Daniela Parrau Vargas;Vende Dueño/a
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/el-universo/2563427;Casa;77000000;3;1;1;162;91;2.673;Cerrillos, El Universo;Eleva Propiedades;Eleva Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos/3727336;Casa;97000000;3;2;2;126;76;3.368;Cerrillos, Cerrillos;Patricia Navarro;MLC Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/ing-juan-ceron-reyes/3112489;Casa;116000000;3;2;0;120;82;4.027;Cerrillos, Ing juan cerón reyes;María Fernanda;Invierte Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/padre-tomas-roggia-2641/2554992;Casa;95000000;3;2;3;130;80;3.298;Cerrillos, Padre tomas Roggia 2641;MLC Propiedades;MLC Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/casa-2-pisos-en-condominio-altos-de-don-orione/3441484;Casa;85000000;3;2;0;100;85;2.951;Cerrillos, Casa 2 Pisos en Condominio Altos de Don Orione;Corretajes Prosal Ltda.;Corretajes Prosal
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/caupolican-7195/2991725;Casa;211104000;9;8;3;268;218;7.330;Cerrillos, Caupolicán 7195;Juan Carlos Palma;Vitahome Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/catorce-de-octubre/3710696;Casa;144000000;2;1;3;1050;85;5.000;Cerrillos, Catorce de Octubre;Felipe andres santibañez torres;Vende Dueño/a
Cerro Navia;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/presidente-prieto/2009884;Casa;140000000;4;3;3;560;120;4.861;Cerro Navia, Presidente Prieto;lapropiedad.cl;lapropiedad.cl
Cerro Navia;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/doctor-avendano/3639993;Casa;52000000;2;1;1;162;65;1.805;Cerro Navia, Doctor Avendaño;Edith Angeline Faúndez Muñoz;Vende Dueño/a
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/caletera-san-martincarretera-san-martin/1151912;Casa;371520000;3;3;0;5000;230;12.900;Colina, Caletera San Martin/Carretera San Martin;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/general-san-martin/3505258;Casa;352000000;5;5;0;5000;310;12.221;Colina, General San Martin;Vivaqui Propiedades;Vivaqui Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-chicureoalba-2/3417275;Casa;475200000;4;3;0;5000;260;16.500;Colina, Av. Chicureo/Alba 2;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-chamisero-portezuelo-iii-calle-el-tranque-oriente-colina/3309727;Casa;282470400;5;5;0;140;460;9.808;Colina, Av Chamisero Portezuelo III calle el tranque Oriente colina;María Fernanda;Invierte Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-brisas-de-chicureo/3676096;Casa;1584000000;5;5;0;5000;640;55.000;Colina, Las Brisas de Chicureo;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina-region-metropolitana/3377283;Casa;187200000;4;3;2;5400;150;6.500;;Gescor Propiedades;Gescor Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/haya-austral-772/3611470;Casa;97000000;3;3;2;120;90;3.368;Colina, Haya Austral 772;Arlette Andrea Riquelme Gonzalez;Vende Dueño/a
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/altos-de-la-reserva/3472948;Casa;748800000;5;7;5;5000;468;26.000;Colina, Altos de la Reserva;Natalie Fernandez Fekete;Vende Dueño/a
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/avda-chicureocaletera-general-san-martin/1406465;Casa;777600000;3;2;0;8509;190;27.000;Colina, Avda Chicureo/Caletera General San Martin;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/cerro-santa-isabel/3339617;Casa;475200000;8;5;0;7200;365;16.500;Colina, Cerro Santa Isabel;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-guay-guayav-chicureo/1460501;Casa;483840000;5;4;0;5160;360;16.800;Colina, Camino Guay Guay/Av. Chicureo;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-santa-elena/3506079;Casa;265248000;4;3;0;5000;235;9.210;Colina, Camino santa Elena;Vivaqui Propiedades;Vivaqui Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/el-algarroboavenida-chicureo/1550179;Casa;429120000;5;4;0;5000;230;14.900;Colina, El Algarrobo/Avenida Chicureo;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-campinas/3508436;Casa;374112000;5;4;0;5016;218;12.990;Colina, Las campiñas;Vivaqui Propiedades;Vivaqui Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo/3504824;Casa;604800000;6;7;0;5000;265;21.000;Colina, Chicureo;Vivaqui Propiedades;Vivaqui Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-san-alselmoguay-guay/2716842;Casa;547200000;4;3;0;5800;320;19.000;Colina, Camino San Alselmo/Guay Guay;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-el-cobijo/2394826;Casa;185760000;4;2;0;5400;191;6.450;Colina, Condominio El Cobijo;Walter Kraemer;Home Solutions
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-el-valle-el-algarrobo/3522067;Casa;532800000;6;5;0;5010;369;18.500;Colina, Av. El Valle / El Algarrobo;Vivaqui Propiedades;Vivaqui Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/lo-arcaya/3377763;Casa;475200000;4;4;4;7200;230;16.500;Colina, Lo arcaya;Genoveva del Carmen Espinoza Saez;Virtual Realty Property SpA.
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-maria-de-chamisero-isanta-maria-de-chamisero/3057580;Casa;1005120000;6;6;0;20;560;34.900;Colina, Santa María De Chamisero I/Santa María de Chamisero;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/peaje-lo-pinto-colina/3506259;Casa;254534400;4;3;0;5000;290;8.838;Colina, Peaje Lo Pinto Colina;Vivaqui Propiedades;Vivaqui Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-club-de-golf-las-brisas-de-chicureo/3556456;Casa;519148800;6;4;0;5013;362;18.026;Colina, Condominio Club de Golf, Las Brisas de Chicureo;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/hacienda-chacabuco-km-20/3160535;Casa;561600000;5;4;0;8000;500;19.500;Colina, Hacienda Chacabuco km 20;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/altos-de-la-reserva/3473628;Casa;864000000;8;8;8;5800;700;30.000;Colina, Altos de la Reserva;Natalie Fernandez Fekete;Vende Dueño/a
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-parcela-de-agrado-en-condominio-santa-luisa-de-los-ingleses/3416722;Casa;230000000;8;4;0;5145;300;7.986;Colina, Chicureo, Parcela de Agrado en Condominio Santa Luisa de Los Ingleses.;Corretajes Prosal Ltda.;Corretajes Prosal
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/los-ingleseschicureo/1703533;Casa;561600000;4;4;0;6000;320;19.500;Colina, Los Ingleses/Chicureo;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/patriota-javiera-carrera/3578693;Casa;43000000;2;1;3;115;46;1.493;Colina, Patriota Javiera Carrera;Rosemarie Alvarez Oñate;Vende Dueño/a
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-excelente-parcela-de-agrado-en-casas-del-alba/3416703;Casa;320000000;6;0;0;5787;310;11.110;Colina, Chicureo, Excelente Parcela de Agrado en Casas del Alba;Corretajes Prosal Ltda.;Corretajes Prosal
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-nieves/3112163;Casa;57500000;3;1;1;166;82,73;1.996;Colina, Las Nieves.;Colina Propiedades;Colina Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo/3071091;Casa;547200000;4;3;0;5800;320;19.000;Colina, Chicureo;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-monasteriocamino-monasterio/3037970;Casa;205200000;4;2;0;5000;200;7.125;Colina, Camino Monasterio/Camino Monasterio;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/el-valle-rotonda-piedra-rojaguay-guay-copec/2477586;Casa;553420800;6;4;0;5000;355;19.216;Colina, El Valle / Rotonda Piedra Roja/Guay Guay / Copec;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/san-josesanta-cecilia/3383953;Casa;486432000;4;7;0;5400;400;16.890;Colina, San José/Santa Cecilia;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-parcela-de-agrado-en-condominio-san-jose/3416746;Casa;160000000;3;1;0;5200;130;5.555;Colina, Chicureo, Parcela de Agrado en Condominio San José.;Corretajes Prosal Ltda.;Corretajes Prosal
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-elenachicureo-norte/3726063;Casa;342432000;6;4;0;5100;470;11.890;Colina, Santa Elena/Chicureo Norte;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/reina-sur/3532920;Casa;368640000;5;5;0;5000;570;12.800;Colina, Reina sur;Vivaqui Propiedades;Vivaqui Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/domingo-campos-lagos/3488371;Casa;40000000;2;1;1;130;73;1.389;Colina, Domingo Campos Lagos;fernando mora;Vende Dueño/a
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/san-vicente-de-lo-arcayageneral-san-martin-colina/2497732;Casa;388512000;4;3;0;5498;239;13.490;Colina, San Vicente de Lo Arcaya/General San Martín - Colina;Carlos Hurtado Rogers;Hurtado Propiedades S.A.
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/2975092;Casa;1005120000;6;6;0;20000;560;34.900;Colina, Colina;Marianella Vergara;Vende Dueño/a
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-san-jose/3185920;Casa;500832000;4;6;0;5400;400;17.390;Colina, Camino san josé;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/2260832;Casa;520000000;6;5;0;6200;450;18.054;Colina, Colina;Vivaqui Propiedades;Vivaqui Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-elenasan-miguel/1157489;Casa;371520000;4;4;0;5600;400;12.900;Colina, Santa Elena/San Miguel;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/3670069;Casa;225000000;3;3;0;5000;140;7.812;Colina, Colina;Work Inmobiliario;Work Inmobiliario
Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-polo-mahuida-country-club/3676082;Casa;720000000;5;4;0;5230;530;25.000;Colina, Condominio Polo Mahuida Country Club;Cata Brochet Propiedades;Cata Brochet Propiedades
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/av-jose-maria-caro-1372/2553777;Casa;72000000;4;2;3;185;120;2.500;Conchalí, Av. Jose Maria Caro 1372;Corredor Pro SpA.;Corredorpro Spa
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/cardenal-caro-metro-station/3695668;Casa;115000000;4;2;2;181;114;3.993;Conchalí, Cardenal Caro metro station;Macarena Salinas Gormaz;Vende Dueño/a
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/niteroi/3590496;Casa;165000000;5;2;3;189;171;5.729;Conchalí, Niterói;Jaime Eduardo Castilla;castillapropiedades
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3655318;Casa;140000000;6;2;3;200;140;4.861;;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/porto-alegre-1415/3713357;Casa;98000000;3;1;2;212;76;3.403;Conchalí, Porto Alegre 1415;Isaac Lar Fuentes;Vende Dueño/a
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/tokio/3311424;Casa;120000000;3;2;0;160;103;4.166;Conchalí, Tokio;María Fernanda;Invierte Propiedades
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3103147;Casa;90000000;3;2;2;164;122;3.125;;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/eibar-1542/3166902;Casa;215000000;3;3;3;200;160;7.465;Conchalí, Eibar 1542;Corredores Asociados;Corredores Asociados
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-en-carlos-salas-herrera/3734164;Casa;105000000;3;1;0;340;160;3.646;Conchalí, Casa en Carlos Salas Herrera;Armacima LImitada;Armacima Propiedades
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/calle-gpasaje-iloca/1879499;Casa;145000000;4;2;0;0;123;5.034;Conchalí, Calle g/pasaje iloca;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/campanariopucon/3460814;Casa;75000000;2;1;0;200;96;2.604;Conchalí, Campanario/Pucón;Aleida Lama Propiedades;Aleida Lama Propiedades
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/maipo/3416499;Casa;150000000;3;1;7;210;66;5.208;Conchalí, Maipo;Amparo Canales Bustos;Vende Dueño/a
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/alemania/3604008;Casa;71000000;3;1;0;115;77;2.465;Conchalí, Alemania;Corredores Asociados;Corredores Asociados
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/av-independenciaquilicurametro-vivaceta/3446818;Casa;95000000;3;2;0;175;120;3.298;Conchalí, Av. Independencia/quilicura/metro vivaceta;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-esquina-en-avenida-180-m2-4-dormitorios-2-banos/2672835;Casa;130000000;4;2;0;180;134,95;4.514;Conchalí, Casa esquina en Avenida / 180 m2 / 4 dormitorios / 2 baños;Vip Gestión inmobiliaria;Vip Gestion Inmobiliaria
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/avenida-cardenal-jose-maria-caro/3150444;Casa;130000000;4;2;4;180;135;4.514;Conchalí, Avenida Cardenal José María Caro;Gestión inmobiliaria;Inmobienes.
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/pasaje-maipo-1484/1977481;Casa;140000000;3;2;0;266,5;131,6;4.861;Conchalí, Pasaje Maipo 1484;Paola Sepúlveda;Psp Propiedades
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3638380;Casa;93000000;3;2;2;180;189;3.229;;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3683272;Casa;160000000;5;2;3;180;171;5.555;;jaime gomez;Vende Dueño/a
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3700342;Casa;67000000;2;0;0;170;60;2.326;Conchalí, Conchalí, Región Metropolitana;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
Conchalí;https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-de-2-pisos-en-vivaceta/3734128;Casa;326400000;2;1;0;250;225;11.333;Conchalí, Casa de 2 pisos en Vivaceta;Armacima LImitada;Armacima Propiedades
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/eleutrio-ramirezalejandro-guzman/2815668;Casa;190000000;2;1;0;500;0;6.597;El Bosque, Eleutrio Ramirez/Alejandro Guzman;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/las-casitaslos-patos/2924764;Casa;250000000;5;3;0;200;170;8.680;El Bosque, las casitas/los patos;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gran-avenidaamerica/2526485;Casa;130000000;6;2;0;300;200;4.514;El Bosque, Gran Avenida/America;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-de-1-piso-en-conjunto-heroes-del-morro/3383592;Casa;35000000;3;1;0;113;91;1.215;El Bosque, Casa de 1 Piso en Conjunto Héroes del Morro;Corretajes Prosal Ltda.;Corretajes Prosal
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/eleuterio-ramirez/3390509;Casa;200000000;3;2;4;410;160;6.944;El Bosque, Eleuterio Ramírez;Dubois Propiedades;Dubois Propiedades
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-en-lo-espejo/3734220;Casa;372960000;5;2;0;700;200;12.950;El Bosque, Casa en Lo Espejo;Armacima LImitada;Armacima Propiedades
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-de-1-piso-en-villa-santa-maria/3693766;Casa;70000000;3;2;0;168;84;2.430;El Bosque, Casa de 1 Piso en Villa Santa María;Corretajes Prosal Ltda.;Corretajes Prosal
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/pasaje-los-tilos-11966/3644130;Casa;58000000;3;0;0;148;77;2.014;El Bosque, Pasaje Los Tilos 11966;Francisca Abarca;Francisca Abarca
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/humberto-allende/3127499;Casa;125000000;3;1;2;228;60;4.340;El Bosque, Humberto Allende;Francisca Abarca;Francisca Abarca
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gran-avenida-el-observatorio/2591696;Casa;167184000;3;1;0;449;80;5.805;El Bosque, Gran Avenida, El Observatorio;Schumacher Propiedades;Schumacher Propiedades
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gralkornerjmcarreravictor-plaza-mayorga/3598655;Casa;98000000;3;1;0;400;95;3.403;El Bosque, Gral.Korner/j.M.Carrera/victor plaza mayorga;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/los-boldos-12360/3589322;Casa;170000000;4;1;2;220;85;5.902;El Bosque, Los Boldos 12360,;Edith Lorena Barra Lazo;Vende Dueño/a
El Bosque;https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/calle-nuevo-horizonte-684/864027;Casa;63000000;4;2;1;270;170;2.187;El Bosque, Calle nuevo Horizonte 684;Erick Marcelo Villanueva Rojas;Vende Dueño/a
