Nitrogen;Phosphorus;Potassium;Temperature;Humidity;pH_Value;Rainfall;Crop
83;41;43;210.525.355;8.267.839.517;6.254.028.451;2.331.075.816;Rice
98;47;37;2.348.381.344;8.133.265.073;7.375.482.851;2.240.581.164;Rice
66;53;41;250.756.354;8.052.389.148;7.778.915.154;2.570.038.865;Rice
97;59;43;2.635.927.159;8.404.403.589;6.286.500.176;2.713.586.137;Rice
97;50;41;2.452.922.681;8.054.498.576;7.070.959.995;2.602.634.026;Rice
60;49;44;2.077.576.147;8.449.774.397;6.244.841.491;2.400.810.647;Rice
84;51;35;2.230.157.427;8.064.416.466;6.043.304.899;1.979.791.215;Rice
73;57;41;2.144.653.958;8.494.375.962;5.824.709.117;2.722.017.204;Rice
92;35;40;2.217.931.888;8.033.127.223;6.357.389.366;2.000.882.787;Rice
85;37;39;2.452.783.742;8.273.685.569;6.364.134.968;2.246.757.231;Rice
98;53;38;2.026.707.606;8.163.895.217;501.450.727;2.704.417.274;Rice
88;54;44;257.354.293;8.388.266.234;6.149.410.611;2.331.321.372;Rice
95;55;42;2.679.533.926;821.480.873;5.950.660.556;1.933.473.987;Rice
99;57;35;2.675.754.171;8.117.734.011;5.960.370.061;2.722.999.056;Rice
95;39;36;2.386.330.467;8.315.250.801;5.561.398.642;2.852.493.645;Rice
60;43;44;2.101.944.696;8.295.221.726;7.416.245.107;2.984.018.471;Rice
63;44;41;2.417.298.839;837.287.574;5.583.370.042;2.570.343.554;Rice
62;42;36;2.278.133.816;8.206.719.137;6.430.010.215;2.487.183.228;Rice
64;45;43;2.562.980.105;8.352.842.314;5.534.878.156;2.099.001.977;Rice
83;60;36;2.559.704.938;8.014.509.262;6.903.985.986;200.834.898;Rice
82;40;40;2.383.067.496;8.481.360.127;6.271.478.838;2.985.601.175;Rice
85;52;45;2.631.355.498;8.236.698.992;7.224.285.503;2.655.355.937;Rice
91;35;38;248.972.823;8.052.586.088;613.428.721;1.836.793.207;Rice
76;49;42;24.958.779;8.447.963.372;5.206.373.153;1.969.560.008;Rice
74;39;38;2.324.113.501;8.459.201.843;7.782.051.313;2.330.453.455;Rice
79;43;39;2.166.628.296;8.070.960.551;7.062.779.015;2.108.142.087;Rice
88;55;45;2.463.544.858;8.041.363.018;7.730.367.824;2.537.202.781;Rice
60;36;43;2.343.121.862;8.306.310.136;5.286.203.711;2.199.048.349;Rice
76;60;39;200.454.142;803.477.562;6.766.240.045;2.085.810.155;Rice
93;56;42;2.385.724.032;8.222.572.988;7.382.762.603;1.950.948.311;Rice
65;60;43;2.197.199.397;8.189.918.197;5.658.169.482;2.273.637.009;Rice
95;52;36;2.622.916.897;8.383.625.819;5.543.360.238;2.865.083.725;Rice
75;38;39;2.344.676.801;8.479.352.417;6.215.109.715;2.839.338.466;Rice
74;54;38;2.565.553.461;8.347.021.081;7.120.272.972;2.173.788.583;Rice
91;36;45;2.444.345.477;8.245.432.595;5.950.647.577;2.679.761.948;Rice
71;46;40;202.801.937;821.235.421;7.236.705.436;1.919.535.738;Rice
99;55;35;217.238.313;802.389.895;6.501.697.816;2.779.626.192;Rice
72;40;38;2.041.447.029;8.220.802.629;7.592.490.617;2.451.511.304;Rice
83;58;45;2.575.528.612;8.351.827.127;5.875.345.751;2.456.626.799;Rice
93;58;38;2.061.521.424;8.377.345.559;6.932.400.225;2.795.451.717;Rice
70;36;42;2.184.106.875;8.072.886.384;6.946.209.881;2.023.838.319;Rice
76;47;42;2.008.369.642;8.329.114.712;5.739.175.027;2.636.372.176;Rice
99;41;36;2.445.802.087;8.274.835.604;6.738.652.179;1.825.616.319;Rice
99;54;37;2.114.347.496;8.033.502.926;5.594.819.626;1.986.730.942;Rice
86;59;35;2.578.720.567;8.211.124.033;6.946.636.369;2.435.120.414;Rice
69;46;41;2.364.124.821;8.028.597.873;5.012.139.669;2.631.103.304;Rice
91;56;37;2.343.191.632;8.056.887.849;6.363.472.208;2.695.039.162;Rice
61;52;41;2.497.669.518;83.891.805;6.880.431.223;2.048.001.847;Rice
67;45;38;2.272.791.041;821.706.881;7.300.410.836;2.608.875.056;Rice
79;42;37;2.487.300.744;8.284.022.551;6.587.918.708;2.956.094.492;Rice
78;43;42;2.132.376.327;8.300.320.459;7.283.736.617;1.923.197.536;Rice
75;54;36;2.629.465.461;8.456.919.326;7.023.936.392;2.574.914.906;Rice
97;36;45;222.286.982;8.185.872.947;6.939.083.505;2.780.791.793;Rice
67;47;44;2.673.072.391;8.178.596.776;7.868.474.653;2.804.044.392;Rice
73;35;38;2.488.921.174;8.197.927.117;5.005.306.977;1.859.461.429;Rice
77;36;37;2.688.444.878;8.146.033.732;6.136.131.869;1.945.766.559;Rice
81;41;38;2.267.846.116;8.372.874.389;7.524.080.076;2.009.133.156;Rice
68;57;43;2.608.867.875;8.037.979.919;5.706.943.251;1.829.043.504;Rice
72;45;35;2.542.977.518;8.294.682.591;5.758.506.323;1.953.574.542;Rice
61;53;43;2.640.323.239;8.105.635.517;6.349.606.327;2.233.671.883;Rice
67;43;39;2.604.371.967;8.496.907.151;5.999.969.026;1.867.536.773;Rice
67;58;39;252.827.223;8.054.372.813;5.453.592.032;2.201.156.708;Rice
66;60;38;2.208.576.562;8.347.038.318;6.372.576.327;2.317.364.957;Rice
82;43;38;2.328.617.173;8.143.321.641;5.105.588.355;2.423.170.629;Rice
84;50;44;2.548.591.986;8.140.633.547;5.935.344.406;1.826.549.356;Rice
81;53;42;2.367.575.393;8.103.569.343;517.782.304;2.337.034.975;Rice
91;50;40;2.082.477.109;841.341.879;6.462.391.607;2.302.242.223;Rice
93;53;38;2.692.995.077;8.191.411.159;7.069.172.227;2.906.793.783;Rice
90;44;38;2.383.509.503;8.388.387.074;7.473.134.377;2.412.013.513;Rice
81;45;35;2.652.872.817;8.012.267.476;6.158.376.967;2.189.163.567;Rice
78;40;38;2.646.428.311;8.385.642.678;7.549.873.681;2.482.256.491;Rice
60;51;36;2.269.657.794;8.281.088.865;6.028.321.558;2.569.964.761;Rice
88;46;42;2.268.319.059;8.346.358.271;6.604.993.475;1.942.651.719;Rice
93;47;37;2.153.346.343;8.214.004.101;6.500.343.222;2.959.248.796;Rice
60;55;45;2.140.865.769;833.293.191;5.935.745.417;2.875.766.935;Rice
78;35;44;2.654.348.085;8.467.353.597;7.072.655.622;1.836.222.657;Rice
65;37;40;2.335.905.428;8.359.512.273;5.333.322.606;188.413.665;Rice
71;54;16;2.261.359.953;6.369.070.564;5.749.914.421;8.775.953.857;Maize
61;44;17;2.610.018.422;7.157.476.937;6.931.756.558;1.022.662.445;Maize
80;43;16;2.355.882.094;7.159.351.368;6.657.964.753;6.671.995.467;Maize
73;58;21;1.997.215.954;5.768.272.924;6.596.060.648;6.065.171.481;Maize
61;38;20;1.847.891.261;6.269.503.871;5.970.458.434;6.543.835.393;Maize
68;41;16;2.177.689.322;5.780.840.636;6.158.830.619;1.020.861.694;Maize
93;41;17;256.217.169;6.650.415.474;6.047.906.679;1.054.654.703;Maize
89;60;19;2.519.192.419;666.902.901;5.913.664.501;7.806.639.649;Maize
76;44;17;2.041.683.147;625.542.482;5.855.442.401;6.527.798.457;Maize
67;60;25;2.492.162.194;6.678.627.406;5.750.254.943;1.092.162.279;Maize
70;44;19;2.331.689.124;734.541.537;5.852.607.099;9.429.712.821;Maize
90;49;21;2.484.016.732;683.584.573;6.472.523.287;7.405.474.936;Maize
62;52;16;2.227.526.694;5.884.015.925;6.967.057.762;6.387.020.584;Maize
92;44;16;1.887.751.445;6.576.816.093;6.082.973.754;9.476.189.431;Maize
66;54;21;2.519.008.683;602.001.687;5.919.045.532;7.212.375.573;Maize
63;58;22;1.825.405.352;5.528.220.433;6.204.747.653;6.372.358.154;Maize
70;47;17;246.129.118;704.162.444;6.600.827.017;1.041.626.147;Maize
61;41;17;251.420.613;6.526.185.135;6.021.902.237;7.668.456.006;Maize
66;53;19;2.309.348.056;601.159.381;6.033.550.195;6.549.730.729;Maize
74;55;19;1.805.033.737;6.289.366.992;628.886.807;8.423.613.484;Maize
77;57;21;249.321.581;7.380.435.276;6.550.563.823;7.974.078.719;Maize
99;50;15;1.814.710.054;7.109.445.342;5.573.286.437;8.807.753.741;Maize
74;56;22;1.828.362.235;6.665.952.796;6.829.199.275;8.097.573.281;Maize
83;45;21;1.883.344.471;5.875.082.029;5.716.222.912;797.532.896;Maize
100;48;16;2.571.895.816;6.722.190.688;554.990.242;7.451.490.791;Maize
79;51;16;2.533.797.709;6.849.835.977;6.586.244.581;9.646.380.213;Maize
94;39;18;2.389.114.571;5.748.775.781;5.893.093.135;1.028.301.942;Maize
75;49;15;2.153.574.127;7.150.905.983;5.918.263.801;1.024.852.929;Maize
78;48;22;2.308.974.909;6.310.459.626;5.588.650.585;7.043.473.609;Maize
87;54;20;2.561.707.368;634.711.755;6.576.418.207;1.088.303.762;Maize
87;35;25;2.144.526.922;631.621.551;6.178.056.304;6.588.951.188;Maize
63;43;19;1.851.816.776;5.553.128.131;6.641.906.353;90.988.051;Maize
84;57;25;2.253.510.514;6.799.257.471;6.489.040.367;6.440.866.039;Maize
64;35;23;2.302.038.334;6.189.472.002;5.680.361.038;6.303.843.397;Maize
60;46;22;2.489.364.635;6.561.418.761;6.625.404.348;879.298.085;Maize
98;44;21;2.577.175.115;74.089.114;6.524.478.032;1.074.931.917;Maize
75;56;18;1.939.851.734;6.235.750.641;5.696.205.468;6.095.197.486;Maize
86;55;21;2.154.156.232;5.964.024.162;6.803.931.519;1.097.515.385;Maize
98;35;18;2.379.746.068;7.482.913.698;6.252.797.548;9.176.337.172;Maize
76;57;18;189.802.729;7.452.600.826;6.092.725.883;9.426.249.353;Maize
99;56;17;2.410.859.207;7.313.112.261;6.234.330.356;7.107.562.236;Maize
60;44;23;247.947.077;7.004.556.743;5.722.579.819;7.672.860.067;Maize
74;48;17;2.163.162.756;6.027.766.379;6.430.616.465;6.921.803.098;Maize
89;60;17;2.537.548.751;5.721.025.565;5.983.952.675;1.017.004.306;Maize
69;51;23;2.221.738.222;7.285.462.807;680.163.854;1.066.213.157;Maize
96;46;22;2.058.314.011;6.900.128.641;6.499.936.446;6.629.390.357;Maize
61;60;15;2.487.502.824;6.874.248.334;6.265.564.338;9.126.056.654;Maize
74;58;18;2.003.728.219;5.635.606.753;6.727.303.282;109.024.141;Maize
74;43;23;2.595.263.264;6.189.082.199;6.325.235.159;9.957.981.207;Maize
63;43;17;1.928.889.933;6.547.050.802;6.807.487.794;713.195.307;Maize
99;36;20;2.057.981.887;6.534.583.901;6.671.085.817;7.834.604.471;Maize
77;36;23;2.471.417.533;5.673.426.469;6.648.725.327;8.845.361.858;Maize
87;60;23;2.027.317.074;6.391.281.869;6.439.071.996;6.250.351.892;Maize
60;38;17;1.841.932.981;6.423.580.251;6.474.476.516;7.641.312.437;Maize
94;54;17;2.339.128.187;6.174.427.165;5.871.647.806;1.073.198.135;Maize
95;38;22;1.984.939.404;6.124.500.053;5.730.617.109;1.007.689.246;Maize
84;44;21;21.869.274;6.191.044.947;5.850.439.831;1.072.681.929;Maize
77;58;19;228.056.033;5.650.768.935;5.791.649.933;1.015.952.794;Maize
66;44;20;190.781.471;6.902.298.571;6.740.000.688;8.072.515.943;Maize
63;35;16;2.202.720.976;6.535.549.924;6.272.417.541;8.373.280.082;Maize
79;45;20;2.380.546.189;5.924.537.979;5.715.208.817;899.622.014;Maize
72;60;25;1.852.510.753;690.276.233;5.773.454.729;8.810.234.397;Maize
67;51;24;2.350.297.882;6.132.026.065;5.584.171.461;6.477.791.424;Maize
86;36;24;2.654.986.394;7.289.187.265;5.787.268.394;7.333.636.055;Maize
76;48;18;1.929.563.411;6.963.481.219;577.597.783;8.321.030.571;Maize
75;53;18;2.068.899.915;594.375.337;6.864.793.607;103.651.438;Maize
81;45;23;1.932.666.088;68.034.493;6.192.360.003;8.422.969.177;Maize
73;45;21;2.460.532.218;7.358.868.502;6.636.803.223;9.659.195.302;Maize
71;35;24;2.227.373.646;5.952.193.158;5.826.426.917;6.796.704.792;Maize
96;54;22;2.570.196.694;6.133.450.447;6.960.358.276;8.320.711.308;Maize
99;39;18;1.920.129.357;6.830.578.978;611.275.104;8.785.092.352;Maize
62;48;20;2.170.181.447;6.047.470.519;6.708.446.922;9.571.388.473;Maize
86;37;16;2.051.716.779;5.921.235.483;5.561.510.732;6.761.013.737;Maize
94;50;19;2.330.355.338;7.362.548.442;5.873.242.491;9.759.081.274;Maize
76;39;24;242.547.451;5.564.709.899;6.995.843.776;6.423.845.455;Maize
77;52;17;2.486.374.934;657.420.046;5.714.799.723;7.582.270.467;Maize
74;39;23;226.265.115;6.577.472.881;678.073.637;8.817.251.033;Maize
81;49;20;1.804.185.513;6.061.494.304;5.513.697.923;1.042.321.615;Maize
63;42;21;2.326.237.612;7.233.125.523;5.798.423.908;6.710.225.139;Maize
99;38;21;2.288.330.922;7.159.722.446;6.352.471.866;6.772.777.298;Maize
90;52;25;2.597.482.359;6.936.385.721;6.822.586.546;1.032.234.212;Maize
68;40;19;2.614.384.005;6.620.569.924;6.655.426.355;1.072.361.366;Maize
60;57;24;1.866.116.213;6.155.327.249;6.121.294.041;7.503.247.667;Maize
71;52;18;2.510.787.449;5.597.732.754;5.790.770.203;7.816.077.693;Maize
61;59;17;2.333.844.615;5.924.580.604;647.444.292;1.050.083.144;Maize
88;38;15;2.508.239.719;6.592.195.844;6.455.116.637;6.249.190.812;Maize
65;60;22;2.536.768.364;7.252.054.555;6.606.984.086;1.079.124.111;Maize
78;37;22;2.534.217.103;6.331.801.994;6.330.554.389;7.452.082.026;Maize
78;58;15;2.500.933.355;67.816.568;6.528.631.266;6.291.359.494;Maize
92;60;23;1.866.746.724;71.516.474;5.721.667.141;6.993.293.255;Maize
79;59;17;2.037.999.665;6.373.849.998;6.644.205.485;1.085.054.416;Maize
91;55;15;1.809.300.227;7.261.024.172;6.376.651.091;7.896.159.541;Maize
76;51;18;2.616.985.907;7.196.246.617;6.247.040.422;7.984.925.393;Maize
87;48;25;1.865.396.672;6.137.879.671;6.656.730.008;9.362.039.175;Maize
71;60;22;2.607.470.121;5.937.147.589;62.048.017;8.575.692.395;Maize
90;57;24;1.892.851.916;7.280.086.137;6.158.860.284;8.234.162.918;Maize
67;35;22;2.330.546.753;6.324.648.023;6.385.684.214;1.087.603.001;Maize
60;54;19;1.874.826.712;6.249.878.458;6.417.820.493;7.023.401.597;Maize
83;58;23;1.974.213.321;5.966.263.104;6.381.201.909;6.550.861.389;Maize
83;57;19;2.573.044.432;7.074.739.256;6.877.869.005;9.873.771.338;Maize
40;72;77;1.702.498.456;1.698.861.173;7.485.996.067;8.855.123.143;ChickPea
23;72;84;1.902.061.277;1.713.159.126;6.920.251.378;7.992.698.081;ChickPea
39;58;85;1.788.776.475;1.540.589.717;5.996.932.037;6.854.932.919;ChickPea
22;72;85;1.886.805.647;1.565.809.214;6.391.173.589;8.851.048.983;ChickPea
36;67;77;1.836.952.567;1.956.381.041;7.152.811.172;7.926.357.665;ChickPea
32;73;81;2.045.078.582;1.540.312.102;5.988.992.796;9.268.373.702;ChickPea
58;70;84;206.543.203;1.660.820.843;6.231.049.028;746.631.118;ChickPea
59;70;84;173.348.681;1.874.926.979;7.550.808.267;8.261.734.721;ChickPea
42;62;75;1.817.912.258;1.890.426.935;7.010.570.541;8.184.997.529;ChickPea
28;74;81;1.801.272.266;1.830.968.112;8.753.795.334;8.198.568.791;ChickPea
58;66;79;2.099.373.558;1.933.470.387;8.718.192.847;9.355.280.105;ChickPea
43;66;79;1.946.233.971;1.522.538.951;7.976.607.593;7.458.565.097;ChickPea
58;63;81;1.981.344.531;1.469.765.308;6.515.499.549;7.896.514.709;ChickPea
23;62;85;1.897.424.756;195.161.216;8.490.127.142;807.108.745;ChickPea
27;62;77;1.819.737.048;1.471.070.537;6.576.415.562;7.018.185.181;ChickPea
28;72;84;1.872.963.144;1.918.197.264;6.481.783.043;7.158.010.169;ChickPea
50;56;76;2.099.502.153;198.601.304;7.966.605.025;7.350.734.019;ChickPea
39;71;84;2.028.155.898;1.639.535.215;8.140.825.437;8.252.339.655;ChickPea
25;78;76;1.748.042.641;157.559.405;7.228.963.452;6.696.980.581;ChickPea
31;70;77;2.088.818.675;1.432.313.811;6.492.546.046;9.046.228.334;ChickPea
26;80;83;1.708.498.521;1.614.565.756;7.528.599.957;7.131.007.253;ChickPea
25;68;77;2.009.340.593;1.511.279.612;7.701.446.446;8.574.904.898;ChickPea
31;78;76;1.757.212.145;1.499.927.489;8.519.975.748;8.931.050.665;ChickPea
60;68;83;1.912.065.218;1.843.475.844;6.620.900.869;8.552.950.164;ChickPea
59;62;83;1.857.665.902;1.922.008.229;8.104.396.058;7.294.940.441;ChickPea
22;67;78;1.716.606.398;1.442.457.525;6.204.090.835;7.232.667.516;ChickPea
36;65;80;182.872.007;1.667.921.616;6.051.091.339;7.487.445.574;ChickPea
59;60;84;1.903.025.305;1.866.725.565;7.690.962.338;9.470.992.037;ChickPea
54;77;85;171.418.614;170.662.427;7.829.211.144;8.374.606.679;ChickPea
43;68;81;1.747.809.436;1.793.253.975;6.761.599.706;7.892.060.234;ChickPea
28;76;82;2.056.601.874;1.425.803.981;6.654.425.315;8.375.937.135;ChickPea
42;79;85;1.722.385.224;1.582.069.268;6.129.533.877;7.657.580.954;ChickPea
32;60;83;1.969.141.713;1.944.225.438;8.829.273.328;9.176.071.648;ChickPea
22;78;76;1.784.851.658;1.909.172.907;8.621.662.982;7.632.470.713;ChickPea
31;79;75;188.202.251;161.074.793;8.204.862.075;8.973.119.396;ChickPea
28;58;81;1.747.500.984;1.654.314.829;618.042.747;9.335.034.262;ChickPea
57;58;77;1.872.649.425;1.758.406.365;7.978.996.755;8.120.176.515;ChickPea
49;55;78;1.865.580.107;1.617.772.668;7.863.113.671;8.170.769.297;ChickPea
46;76;77;182.356.751;1.968.538.502;6.967.843.048;8.374.879.344;ChickPea
54;61;77;1.881.198.127;1.521.618.225;6.206.582.193;775.429.424;ChickPea
38;60;76;1.865.054.116;1.780.852.431;8.868.741.443;7.792.798.682;ChickPea
59;55;79;2.036.720.401;1.689.574.311;8.766.128.654;822.545.577;ChickPea
36;76;75;1.838.120.357;1.663.805.158;8.736.337.905;7.052.056.697;ChickPea
57;68;81;1.717.012.591;1.730.457.712;8.081.095.263;7.278.624.223;ChickPea
35;66;81;1.937.101.121;1.577.458.129;6.138.243.973;8.524.819.851;ChickPea
35;64;78;1.792.845.928;1.427.327.988;7.496.645.259;8.537.378.769;ChickPea
52;60;79;1.945.339.934;1.823.490.739;8.380.185.271;756.317.566;ChickPea
27;76;83;1.912.829.388;1.492.241.479;6.289.614.016;8.961.857.826;ChickPea
57;60;84;191.034.283;1.726.184.541;6.586.777.189;7.549.101.167;ChickPea
52;68;78;1.748.504.075;1.696.070.581;689.655.198;8.605.078.037;ChickPea
43;79;79;1.940.751.744;1.898.030.507;7.806.747.656;8.025.064.637;ChickPea
44;74;85;2.018.649.426;1.963.719.995;7.150.681.303;7.826.039.559;ChickPea
24;55;78;1.730.287.885;1.515.405.941;664.919.573;7.557.790.384;ChickPea
29;77;75;1.750.361.137;1.548.083.156;7.778.591.618;729.446.671;ChickPea
20;60;78;1.817.234.999;1.470.085.967;6.358.740.355;907.760.707;ChickPea
56;67;78;1.757.445.618;1.671.826.572;8.255.450.758;7.781.891.424;ChickPea
37;66;85;2.093.175.255;1.891.295.403;6.456.148.474;7.806.910.795;ChickPea
49;71;76;1.971.098.332;1.763.879.418;6.613.072.145;8.557.925.437;ChickPea
59;69;80;1.907.937.684;1.786.754.927;8.165.359.297;6.940.619.137;ChickPea
20;79;77;1.854.988.627;1.602.542.689;764.867.466;7.632.565.249;ChickPea
24;56;85;1.819.903.647;1.741.333.199;6.545.888.558;806.405.403;ChickPea
51;72;75;1.888.852.533;1.499.451.145;7.104.224.797;801.113.384;ChickPea
57;73;85;1.849.311.205;1.472.115.044;7.358.099.622;9.194.595.352;ChickPea
22;64;82;1.948.974.337;1.717.260.319;64.740.245;8.751.312.796;ChickPea
52;73;79;1.725.769.499;1.874.943.955;7.840.339.389;9.400.287.214;ChickPea
29;75;75;1.962.416.326;1.871.483.156;7.064.790.365;884.585.692;ChickPea
44;59;78;2.067.526.473;1.985.388.984;7.599.033.472;8.478.344.008;ChickPea
41;69;82;2.002.381.489;1.663.294.455;6.715.587.232;6.897.806.542;ChickPea
52;56;85;201.187.446;1.444.228.303;681.712.422;8.868.168.643;ChickPea
34;76;80;2.065.691.793;1.584.572.566;7.985.417.393;6.523.811.143;ChickPea
42;74;83;192.582.557;142.804.191;7.545.258.424;6.578.042.032;ChickPea
34;71;79;17.927.806;1.585.622.899;7.728.998.197;7.463.872.762;ChickPea
27;73;79;1.916.288.268;1.583.500.655;7.354.973.451;8.269.766.829;ChickPea
30;70;79;2.026.942.271;1.996.978.871;7.313.122.235;6.964.449.182;ChickPea
57;57;75;1.709.104.223;1.825.142.068;7.785.039.076;8.727.444.866;ChickPea
27;79;82;1.706.579.293;1.754.024.066;6.307.004.923;7.087.150.577;ChickPea
32;71;85;2.062.767.492;1.444.008.871;6.403.982.316;9.206.630.306;ChickPea
31;76;82;208.248.451;1.785.057.083;7.599.279.991;7.920.509.212;ChickPea
33;75;84;1.946.210.401;1.872.831.993;7.217.018.459;6.881.405.149;ChickPea
47;80;77;1.718.248.372;1.642.891.834;7.561.108.006;7.285.017.344;ChickPea
54;62;80;1.748.911.699;1.639.055.394;7.489.545.074;7.945.758.333;ChickPea
47;79;78;1.748.395.377;1.476.014.523;6.609.696.734;6.511.365.631;ChickPea
35;57;83;1.948.316.794;1.744.534.641;7.476.800.943;804.986.291;ChickPea
53;73;77;1.971.359.733;1.809.665.739;7.325.451.279;7.364.476.535;ChickPea
45;61;78;1.948.649.305;1.606.240.074;6.489.389.282;815.284.269;ChickPea
37;78;79;1.995.264.829;1.482.633.099;7.786.366.322;886.810.311;ChickPea
30;75;81;1.941.789.736;1.680.472.243;6.408.437.886;684.951.189;ChickPea
37;55;82;1.945.591.848;1.802.235.902;8.423.873.703;7.844.910.564;ChickPea
53;65;76;2.019.137.759;1.641.998.269;8.719.960.893;7.733.795.356;ChickPea
22;60;85;188.392.908;1.474.071.856;7.811.997.977;9.478.189.594;ChickPea
60;61;78;2.071.219.282;1.983.643.308;6.317.153.205;9.403.659.867;ChickPea
42;67;77;1.899.424.448;159.362.937;7.114.405.288;7.869.707.199;ChickPea
39;76;76;1.996.837.462;1.557.324.389;8.135.900.726;6.915.759.062;ChickPea
35;63;76;1.781.564.548;1.760.756.635;7.714.153.038;9.082.097.601;ChickPea
30;65;82;2.071.424.384;1.527.824.066;7.103.798.069;7.677.888.672;ChickPea
57;56;78;1.734.150.229;1.875.626.255;8.861.479.668;679.545.435;ChickPea
48;65;78;1.743.732.714;1.433.847.406;7.861.128.148;730.926.704;ChickPea
36;56;83;1.889.780.215;1.976.182.946;74.526.709;6.909.512.477;ChickPea
40;58;75;1.859.190.771;1.477.959.596;7.168.096.055;8.960.982.451;ChickPea
49;69;82;1.831.561.493;1.536.143.547;726.311.855;8.178.710.463;ChickPea
13;60;25;1.713.692.774;2.059.541.693;568.597.166;128.256.862;KidneyBeans
25;70;16;1.963.474.332;1.890.705.639;5.759.237.003;1.063.598.183;KidneyBeans
31;55;22;2.291.350.245;2.133.953.114;5.873.171.894;109.225.556;KidneyBeans
40;64;16;1.643.340.342;2.424.045.875;5.926.676.985;1.403.717.815;KidneyBeans
2;61;20;2.213.974.653;2.302.251.117;595.561.668;7.664.128.258;KidneyBeans
26;65;22;1.784.806.561;1.877.621.951;5.949.949.081;1.430.984.171;KidneyBeans
17;57;21;1.988.394.011;2.031.564.139;5.789.214.289;6.091.974.792;KidneyBeans
26;80;18;1.932.509.638;233.334.788;5.581.021.521;1.047.783.947;KidneyBeans
17;59;17;184.167.001;2.342.829.938;5.689.858.133;1.329.801.054;KidneyBeans
27;59;22;2.181.167.649;2.320.591.245;5.794.158.504;1.300.608.093;KidneyBeans
28;58;24;1.972.702.528;1.828.173.015;5.748.190.463;1.437.630.894;KidneyBeans
25;57;19;1.715.432.954;1.987.070.659;5.566.522.896;8.799.669.731;KidneyBeans
28;80;17;1.962.207.826;1.867.170.854;5.809.419.584;1.441.567.454;KidneyBeans
25;60;22;2.163.149.148;2.117.919.701;5.887.263.027;1.343.649.948;KidneyBeans
12;78;23;1.606.522.754;1.872.479.695;599.812.453;8.806.638.775;KidneyBeans
6;77;25;2.061.162.204;2.436.314.135;5.792.744.849;6.963.833.855;KidneyBeans
22;79;17;2.142.451.099;2.039.659.714;5.912.289.889;1.165.206.923;KidneyBeans
27;80;15;1.907.096.165;2.121.092.266;5.788.386.951;8.621.917.578;KidneyBeans
10;55;23;2.118.853.178;1.963.438.599;5.728.233.081;1.371.948.633;KidneyBeans
23;65;20;230.429.097;2.242.610.972;5.833.940.084;1.083.684.316;KidneyBeans
19;78;16;2.065.375.833;2.310.538.637;5.967.533.236;6.771.768.947;KidneyBeans
19;65;25;1.809.551.014;1.829.318.436;5.625.096.446;1.447.902.323;KidneyBeans
22;70;19;1.823.775.702;2.107.643.273;5.515.615.023;6.944.951.585;KidneyBeans
37;64;22;1.748.189.735;188.251.973;5.954.665.349;1.219.401.369;KidneyBeans
11;71;17;199.191.786;2.147.324.158;574.644.777;8.268.554.379;KidneyBeans
18;79;20;2.027.514.686;232.353.604;5.877.347.515;1.397.521.543;KidneyBeans
21;63;17;1.577.370.214;192.303.162;5.979.973.965;1.083.441.414;KidneyBeans
24;80;22;1.671.170.642;1.917.651.433;5.635.993.966;9.677.285.817;KidneyBeans
34;60;22;1.766.148.158;1.815.302.753;5.635.231.778;1.006.711.761;KidneyBeans
